Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
CMP,"Compass Minerals International, Inc.",58.42,$1.98B,2003,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/cmp
CMRE,Costamare Inc.,9.42,$1.11B,2010,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/cmre
CMRE^B,Costamare Inc.,25.22,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cmre^b
CMRE^C,Costamare Inc.,25.64,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cmre^c
CMRE^D,Costamare Inc.,25.75,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cmre^d
CMRE^E,Costamare Inc.,26.27,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cmre^e
CMS,CMS Energy Corporation,61.87,$17.56B,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cms
CMS^B,CMS Energy Corporation,108.01,n/a,n/a,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cms^b
CMSA,CMS Energy Corporation,26.42,n/a,2018,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsa
CMSC,CMS Energy Corporation,27.18,n/a,2018,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsc
CMSD,CMS Energy Corporation,27.35,n/a,2019,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsd
CMU,Colonial Municipal Income Trust,4.81,$136.24M,1987,n/a,n/a,https://old.nasdaq.com/symbol/cmu
CNA,CNA Financial Corporation,45.06,$12.23B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/cna
CNC,Centene Corporation,60.02,$24.84B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/cnc
CNDT,Conduent Incorporated,6.45,$1.36B,2016,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/cndt
CNF,CNFinance Holdings Limited,5.14,$352.51M,2018,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/cnf
CNHI,CNH Industrial N.V.,10.91,$14.74B,2013,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/cnhi
CNI,Canadian National Railway Company,90.7,$64.88B,n/a,Transportation,Railroads,https://old.nasdaq.com/symbol/cni
CNK,Cinemark Holdings Inc,34.81,$4.08B,2007,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/cnk
CNNE,"Cannae Holdings, Inc.",37.22,$2.94B,2017,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/cnne
CNO,"CNO Financial Group, Inc.",18.93,$2.86B,n/a,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/cno
CNP,"CenterPoint Energy, Inc.",26.35,$13.23B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cnp
CNP^B,"CenterPoint Energy, Inc.",47.71,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cnp^b
CNQ,Canadian Natural Resources Limited,30.16,$35.72B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cnq
CNR,"Cornerstone Building Brands, Inc.",8.62,$1.08B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/cnr
CNS,Cohen & Steers Inc,65.41,$3.09B,2004,Finance,Investment Managers,https://old.nasdaq.com/symbol/cns
CNX,CNX Resources Corporation,7.79,$1.45B,1999,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cnx
CNXM,CNX Midstream Partners LP,15.14,$964.97M,2014,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/cnxm
CO,Global Cord Blood Corporation,4.51,$548.2M,n/a,Finance,Business Services,https://old.nasdaq.com/symbol/co
CODI,Compass Diversified Holdings,24.94,$1.49B,2006,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/codi
CODI^A,Compass Diversified Holdings,24.86,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/codi^a
CODI^B,Compass Diversified Holdings,25.5,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/codi^b
CODI^C,Compass Diversified Holdings,25.44,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/codi^c
COE,China Online Education Group,6.4,$130.52M,2016,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/coe
COF,Capital One Financial Corporation,103.33,$48.12B,1994,Finance,Major Banks,https://old.nasdaq.com/symbol/cof
COF^F,Capital One Financial Corporation,25.9586,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cof^f
COF^G,Capital One Financial Corporation,25.5299,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cof^g
COF^H,Capital One Financial Corporation,26.76,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cof^h
COF^I,Capital One Financial Corporation,24.92,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cof^i
COF^P,Capital One Financial Corporation,25.4299,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cof^p
COG,Cabot Oil & Gas Corporation,16.89,$6.89B,1990,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cog
COLD,Americold Realty Trust,32.95,$6.32B,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cold
COO,"The Cooper Companies, Inc. ",318.97,$15.81B,n/a,Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/coo
COP,ConocoPhillips,62.82,$68.93B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cop
COR,CoreSite Realty Corporation,112.25,$4.23B,2010,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cor
CORR,"CorEnergy Infrastructure Trust, Inc.",43,$582M,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/corr
CORR^A,"CorEnergy Infrastructure Trust, Inc.",25.2265,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/corr^a
COT,Cott Corporation,13.24,$1.78B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/cot
COTY,Coty Inc.,11.01,$8.34B,2013,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/coty
CP,Canadian Pacific Railway Limited,253.07,$34.71B,n/a,Transportation,Railroads,https://old.nasdaq.com/symbol/cp
CPA,"Copa Holdings, S.A.",104.93,$4.44B,2005,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/cpa
CPAC,Cementos Pacasmayo S.A.A.,8.9007,$826.25M,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/cpac
CPB,Campbell Soup Company,47.96,$14.47B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/cpb
CPE,Callon Petroleum Company,4.4,$1B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cpe
CPF,CPB Inc.,29.98,$850.74M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cpf
CPG,Crescent Point Energy Corporation,3.91,$2.14B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cpg
CPK,Chesapeake Utilities Corporation,94.9,$1.56B,n/a,Public Utilities,Oil & Gas Production,https://old.nasdaq.com/symbol/cpk
CPL,CPFL Energia S.A.,16.55,$9.53B,2004,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cpl
CPLG,CorePoint Lodging Inc.,10.88,$623.64M,2018,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cplg
CPRI,Capri Holdings Limited,38.1,$5.78B,2011,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/cpri
CPS,Cooper-Standard Holdings Inc.,29.29,$493.21M,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/cps
CPT,Camden Property Trust,105.63,$10.23B,1993,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cpt
CR,Crane Co.,85.76,$5.14B,n/a,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/cr
CRC,California Resources Corporation,8.52,$418.49M,2014,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/crc
CRCM,"Care.com, Inc.",12.77,$423.05M,2014,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/crcm
CRD.A,Crawford & Company,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/crd.a
CRD.B,Crawford & Company,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/crd.b
CRH,CRH PLC,40.15,$31.7B,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/crh
CRI,"Carter&#39;s, Inc.",105.27,$4.65B,2003,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/cri
CRK,"Comstock Resources, Inc.",6.75,$1.28B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/crk
CRL,"Charles River Laboratories International, Inc.",147.71,$7.21B,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/crl
CRM,Salesforce.com Inc,161.96,$143.66B,2004,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/crm
CRR,"Carbo Ceramics, Inc.",0.3492,$10.25M,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/crr
CRS,Carpenter Technology Corporation,48.41,$2.31B,n/a,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/crs
CRT,Cross Timbers Royalty Trust,7.4,$44.4M,1992,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/crt
CRY,"CryoLife, Inc.",26.06,$977.35M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/cry
CS,Credit Suisse Group,13.5,$33.4B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/cs
CSL,Carlisle Companies Incorporated,159.91,$9.06B,n/a,Basic Industries,Specialty Chemicals,https://old.nasdaq.com/symbol/csl
CSLT,"Castlight Health, inc.",1.27,$185.64M,2014,Technology,EDP Services,https://old.nasdaq.com/symbol/cslt
CSS,"CSS Industries, Inc.",4.19,$37.21M,n/a,Consumer Services,Consumer: Greeting Cards,https://old.nasdaq.com/symbol/css
CSTM,Constellium SE,14.56,$2B,2013,Basic Industries,Metal Fabrications,https://old.nasdaq.com/symbol/cstm
CSU,Capital Senior Living Corporation,3.24,$101.94M,1997,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/csu
CSV,"Carriage Services, Inc.",27.72,$494.14M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/csv
CTA^A,E.I. du Pont de Nemours and Company,85.0797,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cta^a
CTA^B,E.I. du Pont de Nemours and Company,106.3947,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cta^b
CTAA,Qwest Corporation,25.9097,n/a,2016,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctaa
CTB,Cooper Tire & Rubber Company,29.72,$1.49B,n/a,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/ctb
CTBB,Qwest Corporation,25.49,n/a,2016,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctbb
CTDD,Qwest Corporation,25.7,n/a,2017,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctdd
CTEST,NYSE Test One,25,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest
CTEST.E,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.e
CTEST.G,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.g
CTEST.L,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.l
CTEST.O,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.o
CTEST.S,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.s
CTEST.V,NYSE Test One,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/ctest.v
CTK,CooTek (Cayman) Inc.,5.115,$325.34M,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/ctk
CTL,"CenturyLink, Inc.",13.58,$14.81B,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctl
CTLT,"Catalent, Inc.",53.11,$7.77B,2014,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ctlt
CTR,ClearBridge MLP and Midstream Total Return Fund In,8.49,$326.02M,2012,n/a,n/a,https://old.nasdaq.com/symbol/ctr
CTRA,"Contura Energy, Inc.",7.58,$138.06M,2018,Energy,Coal Mining,https://old.nasdaq.com/symbol/ctra
CTS,CTS Corporation,28.8,$938.93M,n/a,Technology,Electrical Products,https://old.nasdaq.com/symbol/cts
CTST,CannTrust Holdings Inc.,0.8608,$121.79M,2019,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/ctst
CTT           ,"CatchMark Timber Trust, Inc.",11.53,$565.05M,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ctt
CTV,Qwest Corporation,25.45,n/a,2014,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctv
CTVA,"Corteva, Inc.",27.55,$20.62B,2019,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/ctva
CTY,Qwest Corporation,24.97,n/a,2013,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/cty
CTZ,Qwest Corporation,25.35,n/a,n/a,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctz
CUB,Cubic Corporation,64.83,$2.03B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cub
CUBE,CubeSmart,30.34,$5.87B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cube
CUBI,"Customers Bancorp, Inc",23.97,$750.75M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/cubi
CUBI^C,"Customers Bancorp, Inc",25.6862,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cubi^c
CUBI^D,"Customers Bancorp, Inc",25.7741,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cubi^d
CUBI^E,"Customers Bancorp, Inc",25.82,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cubi^e
CUBI^F,"Customers Bancorp, Inc",25.93,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cubi^f
CUK,Carnival Corporation,44.46,$31.54B,n/a,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/cuk
CULP,"Culp, Inc.",14.93,$185.31M,n/a,Basic Industries,Textiles,https://old.nasdaq.com/symbol/culp
CURO,CURO Group Holdings Corp.,12.35,$512.36M,2017,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/curo
CUZ,Cousins Properties Incorporated,39.78,$5.84B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cuz
CVA,Covanta Holding Corporation,14.81,$1.95B,n/a,Basic Industries,Electric Utilities: Central,https://old.nasdaq.com/symbol/cva
CVE,Cenovus Energy Inc,9.73,$11.96B,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cve
CVEO,Civeo Corporation,1.04,$176.33M,2014,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/cveo
CVI,CVR Energy Inc.,42.81,$4.3B,2007,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cvi
CVIA,Covia Holdings Corporation,1.75,$230.53M,2018,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/cvia
CVNA,Carvana Co.,95.42,$14.46B,2017,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/cvna
CVS,CVS Health Corporation,74.4,$96.79B,n/a,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/cvs
CVX,Chevron Corporation,119.36,$225.69B,n/a,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cvx
CW,Curtiss-Wright Corporation,142.79,$6.1B,n/a,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cw
CWEN,"Clearway Energy, Inc.",19.67,$3.91B,2015,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cwen
CWEN.A,"Clearway Energy, Inc.",n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/cwen.a
CWH,"Camping World Holdings, Inc.",13.77,$1.21B,2016,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/cwh
CWK,Cushman & Wakefield plc,19.26,$4.22B,2018,Finance,Real Estate,https://old.nasdaq.com/symbol/cwk
CWT,California Water  Service Group Holding,51.03,$2.46B,n/a,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/cwt
CX,Cemex S.A.B. de C.V.,3.81,$5.67B,n/a,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/cx
CXE,Colonial High Income Municipal Trust,5.43,$171.12M,1989,n/a,n/a,https://old.nasdaq.com/symbol/cxe
CXH,Colonial Investment Grade Municipal Trust,9.94,$90.56M,1989,n/a,n/a,https://old.nasdaq.com/symbol/cxh
CXO,Concho Resources Inc.,80.73,$16.23B,2007,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cxo
CXP,"Columbia Property Trust, Inc.",20.26,$2.37B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cxp
CXW,"CoreCivic, Inc.",16.04,$1.91B,n/a,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cxw
CYD,China Yuchai International Limited,13.83,$565.07M,1994,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cyd
CYH,"Community Health Systems, Inc.",3.2,$377.1M,2000,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/cyh
CZZ,Cosan Limited,21.04,$4.67B,n/a,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/czz
D,"Dominion Energy, Inc.",81.64,$67.2B,n/a,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/d
DAC,Danaos Corporation,8.79,$214.23M,2006,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dac
DAL,"Delta Air Lines, Inc.",58.42,$37.78B,n/a,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/dal
DAN,Dana Incorporated,18.76,$2.7B,n/a,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/dan
DAO,"Youdao, Inc.",13.73,$1.53B,2019,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dao
DAR,Darling Ingredients Inc.,25.19,$4.12B,n/a,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/dar
DAVA,Endava plc,46.39,$2.55B,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/dava
DB,Deutsche Bank AG,7.69,$15.88B,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/db
DBD,Diebold Nixdorf Incorporated,10.11,$776.38M,n/a,Miscellaneous,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/dbd
DBI,Designer Brands Inc.,14.64,$1.05B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/dbi
DBL,DoubleLine Opportunistic Credit Fund,20.5,$306.12M,2012,n/a,n/a,https://old.nasdaq.com/symbol/dbl
DCF,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund,9.25,$138.39M,2017,n/a,n/a,https://old.nasdaq.com/symbol/dcf
DCI,"Donaldson Company, Inc.",56.79,$7.19B,n/a,Capital Goods,Pollution Control Equipment,https://old.nasdaq.com/symbol/dci
DCO,Ducommun Incorporated,50.9,$588.57M,n/a,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/dco
DCP,DCP Midstream LP,24.04,$5.01B,n/a,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/dcp
DCP^B,DCP Midstream LP,23.7,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dcp^b
DCP^C,DCP Midstream LP,24.3301,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dcp^c
DCUE,"Dominion Energy, Inc.",105.87,n/a,2019,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dcue
DD,"DuPont de Nemours, Inc.",64.89,$48.07B,2017,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/dd
DDD,3D Systems Corporation,8.78,$1.04B,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd
DDF,"Delaware Investments Dividend & Income Fund, Inc.",14.85,$114.17M,1993,n/a,n/a,https://old.nasdaq.com/symbol/ddf
DDS,"Dillard&#39;s, Inc.",68.27,$1.69B,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dds
DDT,"Dillard&#39;s, Inc.",26.2,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/ddt
DE,Deere & Company,172.85,$54.12B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/de
DEA,"Easterly Government Properties, Inc.",22.93,$1.7B,2015,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dea
DECK,Deckers Outdoor Corporation,163.6,$4.58B,1993,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/deck
DEI,"Douglas Emmett, Inc.",42.72,$7.49B,2006,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dei
DELL,Dell Technologies Inc.,49.49,$36.11B,2018,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/dell
DEO,Diageo plc,165.91,$100.94B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/deo
DESP,"Despegar.com, Corp.",13.42,$929.14M,2017,Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/desp
DEX,Delaware Enhanced Global Dividend,10.36,$124.4M,2007,n/a,n/a,https://old.nasdaq.com/symbol/dex
DFIN,"Donnelley Financial Solutions, Inc.",10.8,$370.44M,2016,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dfin
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,26.65,$510.79M,2013,n/a,n/a,https://old.nasdaq.com/symbol/dfp
DFS,Discover Financial Services,86.13,$27B,n/a,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dfs
DG,Dollar General Corporation,152.77,$38.9B,2009,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dg
DGX,Quest Diagnostics Incorporated,106.18,$14.3B,n/a,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/dgx
DHF,BNY Mellon High Yield Strategies Fund,3.06,$222.49M,1998,n/a,n/a,https://old.nasdaq.com/symbol/dhf
DHI,"D.R. Horton, Inc.",54.7,$20.16B,n/a,Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/dhi
DHR,Danaher Corporation,151.44,$108.78B,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dhr
DHR.WD,Danaher Corporation,n/a,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dhr.wd
DHR^A,Danaher Corporation,1168,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dhr^a
DHT,"DHT Holdings, Inc.",7.39,$1.08B,2005,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dht
DHX,"DHI Group, Inc.",3.3,$177.86M,2007,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/dhx
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,17.95,$650.72M,2014,n/a,n/a,https://old.nasdaq.com/symbol/diax
DIN,"Dine Brands Global, Inc.",81.48,$1.37B,n/a,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/din
DIS,Walt Disney Company (The),148.46,$267.58B,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/dis
DK,"Delek US Holdings, Inc.",34.35,$2.55B,2017,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/dk
DKL,"Delek Logistics Partners, L.P.",32.53,$794.29M,2012,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/dkl
DKS,Dick&#39;s Sporting Goods Inc,47.18,$4.15B,2002,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/dks
DKT.CL,Deutsch Bk Contingent Cap Tr V,n/a,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dkt.cl
DL,China Distance Education Holdings Limited,9.01,$302.31M,n/a,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dl
DLB,Dolby Laboratories,68.4,$6.85B,2005,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/dlb
DLNG,Dynagas LNG Partners LP,2.04,$72.4M,n/a,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/dlng
DLNG^A,Dynagas LNG Partners LP,23.14,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlng^a
DLNG^B,Dynagas LNG Partners LP,20.03,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlng^b
DLPH,Delphi Technologies PLC,13.15,$1.13B,2017,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/dlph
DLR,"Digital Realty Trust, Inc.",115.49,$24.12B,2004,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dlr
DLR^C,"Digital Realty Trust, Inc.",26.6019,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^c
DLR^G,"Digital Realty Trust, Inc.",25.2,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^g
DLR^I,"Digital Realty Trust, Inc.",25.75,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^i
DLR^J,"Digital Realty Trust, Inc.",25.49,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^j
DLR^K,"Digital Realty Trust, Inc.",26.72,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^k
DLR^L,"Digital Realty Trust, Inc.",25.51,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dlr^l
DLX,Deluxe Corporation,50.36,$2.12B,n/a,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/dlx
DMB,"BNY Mellon Municipal Bond Infrastructure Fund, Inc",14.25,$261.94M,2013,n/a,n/a,https://old.nasdaq.com/symbol/dmb
DMO,Western Asset Mortgage Defined Opportunity Fund Inc,20.59,$216.14M,2010,n/a,n/a,https://old.nasdaq.com/symbol/dmo
DNI,Dividend and Income Fund,12.8,$159.03M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/dni
DNOW,NOW Inc.,11.49,$1.25B,2014,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/dnow
DNP,"Duff & Phelps Utilities Income, Inc.",12.82,$3.82B,1987,n/a,n/a,https://old.nasdaq.com/symbol/dnp
DNR,Denbury Resources Inc.,1.3,$628.24M,n/a,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/dnr
DO,"Diamond Offshore Drilling, Inc.",6.08,$837.18M,1995,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/do
DOC,Physicians Realty Trust,18.41,$3.47B,2013,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/doc
DOOR,Masonite International Corporation,73.43,$1.83B,n/a,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/door
