Symbol,Name, Sector,Industry,Summary_quote
CIM^C,Chimera Investment Corporation,n/a,n/a,https://old.nasdaq.com/symbol/cim^c
CIM^D,Chimera Investment Corporation,n/a,n/a,https://old.nasdaq.com/symbol/cim^d
CINR,Ciner Resources LP,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/cinr
CIO,"City Office REIT, Inc.",Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cio
CIO^A,"City Office REIT, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/cio^a
CIR,"CIRCOR International, Inc.",Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/cir
CISN,Cision Ltd.,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cisn
CIT,CIT Group Inc (DEL),Finance,Major Banks,https://old.nasdaq.com/symbol/cit
CIT^B,CIT Group Inc (DEL),n/a,n/a,https://old.nasdaq.com/symbol/cit^b
CKH,"SEACOR Holdings, Inc.",Transportation,Marine Transportation,https://old.nasdaq.com/symbol/ckh
CL,Colgate-Palmolive Company,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/cl
CLB,Core Laboratories N.V.,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/clb
CLDR,"Cloudera, Inc.",Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cldr
CLDT,Chatham Lodging Trust (REIT),Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cldt
CLF,Cleveland-Cliffs Inc.,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/clf
CLGX,"CoreLogic, Inc.",Technology,EDP Services,https://old.nasdaq.com/symbol/clgx
CLH,"Clean Harbors, Inc.",Basic Industries,Environmental Services,https://old.nasdaq.com/symbol/clh
CLI,Mack-Cali Realty Corporation,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cli
CLNC,"Colony Credit Real Estate, Inc.",Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/clnc
CLNY,"Colony Capital, Inc.",Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/clny
CLNY^B.CL,"Colony Capital, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/clny^b.cl
CLNY^E.CL,"Colony Capital, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/clny^e.cl
CLNY^G,"Colony Capital, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/clny^g
CLNY^H,"Colony Capital, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/clny^h
CLNY^I,"Colony Capital, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/clny^i
CLNY^J,"Colony Capital, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/clny^j
CLPR,Clipper Realty Inc.,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/clpr
CLR,"Continental Resources, Inc.",Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/clr
CLS,"Celestica, Inc.",Technology,Electrical Products,https://old.nasdaq.com/symbol/cls
CLW,Clearwater Paper Corporation,Basic Industries,Paper,https://old.nasdaq.com/symbol/clw
CLX,Clorox Company (The),Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/clx
CM,Canadian Imperial Bank of Commerce,Finance,Commercial Banks,https://old.nasdaq.com/symbol/cm
CMA,Comerica Incorporated,Finance,Major Banks,https://old.nasdaq.com/symbol/cma
CMC,Commercial Metals Company,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/cmc
CMCM,Cheetah Mobile Inc.,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/cmcm
CMD,Cantel Medical Corp.,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/cmd
CMG,"Chipotle Mexican Grill, Inc.",Consumer Services,Restaurants,https://old.nasdaq.com/symbol/cmg
CMI,Cummins Inc.,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cmi
CMO,Capstead Mortgage Corporation,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cmo
CMO^E,Capstead Mortgage Corporation,n/a,n/a,https://old.nasdaq.com/symbol/cmo^e
CMP,"Compass Minerals International, Inc.",Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/cmp
CMRE,Costamare Inc.,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/cmre
CMRE^B,Costamare Inc.,n/a,n/a,https://old.nasdaq.com/symbol/cmre^b
CMRE^C,Costamare Inc.,n/a,n/a,https://old.nasdaq.com/symbol/cmre^c
CMRE^D,Costamare Inc.,n/a,n/a,https://old.nasdaq.com/symbol/cmre^d
CMRE^E,Costamare Inc.,n/a,n/a,https://old.nasdaq.com/symbol/cmre^e
CMS,CMS Energy Corporation,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cms
CMS^B,CMS Energy Corporation,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cms^b
CMSA,CMS Energy Corporation,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsa
CMSC,CMS Energy Corporation,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsc
CMSD,CMS Energy Corporation,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/cmsd
CMU,Colonial Municipal Income Trust,n/a,n/a,https://old.nasdaq.com/symbol/cmu
CNA,CNA Financial Corporation,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/cna
CNC,Centene Corporation,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/cnc
CNDT,Conduent Incorporated,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/cndt
CNF,CNFinance Holdings Limited,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/cnf
CNHI,CNH Industrial N.V.,Capital Goods,Construction/Ag Equipment/Trucks,https://old.nasdaq.com/symbol/cnhi
CNI,Canadian National Railway Company,Transportation,Railroads,https://old.nasdaq.com/symbol/cni
CNK,Cinemark Holdings Inc,Consumer Services,Movies/Entertainment,https://old.nasdaq.com/symbol/cnk
CNNE,"Cannae Holdings, Inc.",Consumer Services,Restaurants,https://old.nasdaq.com/symbol/cnne
CNO,"CNO Financial Group, Inc.",Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/cno
CNP,"CenterPoint Energy, Inc.",Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cnp
CNP^B,"CenterPoint Energy, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/cnp^b
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cnq
CNR,"Cornerstone Building Brands, Inc.",Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/cnr
CNS,Cohen & Steers Inc,Finance,Investment Managers,https://old.nasdaq.com/symbol/cns
CNX,CNX Resources Corporation,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cnx
CNXM,CNX Midstream Partners LP,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/cnxm
CO,Global Cord Blood Corporation,Finance,Business Services,https://old.nasdaq.com/symbol/co
CODI,Compass Diversified Holdings,Consumer Durables,Home Furnishings,https://old.nasdaq.com/symbol/codi
CODI^A,Compass Diversified Holdings,n/a,n/a,https://old.nasdaq.com/symbol/codi^a
CODI^B,Compass Diversified Holdings,n/a,n/a,https://old.nasdaq.com/symbol/codi^b
CODI^C,Compass Diversified Holdings,n/a,n/a,https://old.nasdaq.com/symbol/codi^c
COE,China Online Education Group,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/coe
COF,Capital One Financial Corporation,Finance,Major Banks,https://old.nasdaq.com/symbol/cof
COF^F,Capital One Financial Corporation,n/a,n/a,https://old.nasdaq.com/symbol/cof^f
COF^G,Capital One Financial Corporation,n/a,n/a,https://old.nasdaq.com/symbol/cof^g
COF^H,Capital One Financial Corporation,n/a,n/a,https://old.nasdaq.com/symbol/cof^h
COF^I,Capital One Financial Corporation,n/a,n/a,https://old.nasdaq.com/symbol/cof^i
COF^P,Capital One Financial Corporation,n/a,n/a,https://old.nasdaq.com/symbol/cof^p
COG,Cabot Oil & Gas Corporation,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cog
COLD,Americold Realty Trust,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cold
COO,"The Cooper Companies, Inc. ",Health Care,Ophthalmic Goods,https://old.nasdaq.com/symbol/coo
COP,ConocoPhillips,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cop
COR,CoreSite Realty Corporation,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cor
CORR,"CorEnergy Infrastructure Trust, Inc.",Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/corr
CORR^A,"CorEnergy Infrastructure Trust, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/corr^a
COT,Cott Corporation,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/cot
COTY,Coty Inc.,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/coty
CP,Canadian Pacific Railway Limited,Transportation,Railroads,https://old.nasdaq.com/symbol/cp
CPA,"Copa Holdings, S.A.",Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/cpa
CPAC,Cementos Pacasmayo S.A.A.,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/cpac
CPB,Campbell Soup Company,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/cpb
CPE,Callon Petroleum Company,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cpe
CPF,CPB Inc.,Finance,Major Banks,https://old.nasdaq.com/symbol/cpf
CPG,Crescent Point Energy Corporation,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cpg
CPK,Chesapeake Utilities Corporation,Public Utilities,Oil & Gas Production,https://old.nasdaq.com/symbol/cpk
CPL,CPFL Energia S.A.,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cpl
CPLG,CorePoint Lodging Inc.,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cplg
CPRI,Capri Holdings Limited,Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/cpri
CPS,Cooper-Standard Holdings Inc.,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/cps
CPT,Camden Property Trust,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cpt
CR,Crane Co.,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/cr
CRC,California Resources Corporation,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/crc
CRCM,"Care.com, Inc.",Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/crcm
CRD.A,Crawford & Company,n/a,n/a,https://old.nasdaq.com/symbol/crd.a
CRD.B,Crawford & Company,n/a,n/a,https://old.nasdaq.com/symbol/crd.b
CRH,CRH PLC,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/crh
CRI,"Carter&#39;s, Inc.",Consumer Non-Durables,Apparel,https://old.nasdaq.com/symbol/cri
CRK,"Comstock Resources, Inc.",Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/crk
CRL,"Charles River Laboratories International, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://old.nasdaq.com/symbol/crl
CRM,Salesforce.com Inc,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/crm
CRR,"Carbo Ceramics, Inc.",Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/crr
CRS,Carpenter Technology Corporation,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/crs
CRT,Cross Timbers Royalty Trust,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/crt
CRY,"CryoLife, Inc.",Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/cry
CS,Credit Suisse Group,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/cs
CSL,Carlisle Companies Incorporated,Basic Industries,Specialty Chemicals,https://old.nasdaq.com/symbol/csl
CSLT,"Castlight Health, inc.",Technology,EDP Services,https://old.nasdaq.com/symbol/cslt
CSS,"CSS Industries, Inc.",Consumer Services,Consumer: Greeting Cards,https://old.nasdaq.com/symbol/css
CSTM,Constellium SE,Basic Industries,Metal Fabrications,https://old.nasdaq.com/symbol/cstm
CSU,Capital Senior Living Corporation,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/csu
CSV,"Carriage Services, Inc.",Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/csv
CTA^A,E.I. du Pont de Nemours and Company,n/a,n/a,https://old.nasdaq.com/symbol/cta^a
CTA^B,E.I. du Pont de Nemours and Company,n/a,n/a,https://old.nasdaq.com/symbol/cta^b
CTAA,Qwest Corporation,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctaa
CTB,Cooper Tire & Rubber Company,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/ctb
CTBB,Qwest Corporation,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctbb
CTDD,Qwest Corporation,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctdd
CTEST,NYSE Test One,n/a,n/a,https://old.nasdaq.com/symbol/ctest
CTEST.E,NYSE Test One,n/a,n/a,https://old.nasdaq.com/symbol/ctest.e
CTEST.G,NYSE Test One,n/a,n/a,https://old.nasdaq.com/symbol/ctest.g
CTEST.L,NYSE Test One,n/a,n/a,https://old.nasdaq.com/symbol/ctest.l
CTEST.O,NYSE Test One,n/a,n/a,https://old.nasdaq.com/symbol/ctest.o
CTEST.S,NYSE Test One,n/a,n/a,https://old.nasdaq.com/symbol/ctest.s
CTEST.V,NYSE Test One,n/a,n/a,https://old.nasdaq.com/symbol/ctest.v
CTK,CooTek (Cayman) Inc.,Technology,EDP Services,https://old.nasdaq.com/symbol/ctk
CTL,"CenturyLink, Inc.",Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctl
CTLT,"Catalent, Inc.",Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/ctlt
CTR,ClearBridge MLP and Midstream Total Return Fund In,n/a,n/a,https://old.nasdaq.com/symbol/ctr
CTRA,"Contura Energy, Inc.",Energy,Coal Mining,https://old.nasdaq.com/symbol/ctra
CTS,CTS Corporation,Technology,Electrical Products,https://old.nasdaq.com/symbol/cts
CTST,CannTrust Holdings Inc.,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/ctst
CTT           ,"CatchMark Timber Trust, Inc.",Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/ctt
CTV,Qwest Corporation,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctv
CTVA,"Corteva, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/ctva
CTY,Qwest Corporation,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/cty
CTZ,Qwest Corporation,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/ctz
CUB,Cubic Corporation,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cub
CUBE,CubeSmart,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cube
CUBI,"Customers Bancorp, Inc",Finance,Major Banks,https://old.nasdaq.com/symbol/cubi
CUBI^C,"Customers Bancorp, Inc",n/a,n/a,https://old.nasdaq.com/symbol/cubi^c
CUBI^D,"Customers Bancorp, Inc",n/a,n/a,https://old.nasdaq.com/symbol/cubi^d
CUBI^E,"Customers Bancorp, Inc",n/a,n/a,https://old.nasdaq.com/symbol/cubi^e
CUBI^F,"Customers Bancorp, Inc",n/a,n/a,https://old.nasdaq.com/symbol/cubi^f
CUK,Carnival Corporation,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/cuk
CULP,"Culp, Inc.",Basic Industries,Textiles,https://old.nasdaq.com/symbol/culp
CURO,CURO Group Holdings Corp.,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/curo
CUZ,Cousins Properties Incorporated,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cuz
CVA,Covanta Holding Corporation,Basic Industries,Electric Utilities: Central,https://old.nasdaq.com/symbol/cva
CVE,Cenovus Energy Inc,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cve
CVEO,Civeo Corporation,Consumer Services,Hotels/Resorts,https://old.nasdaq.com/symbol/cveo
CVI,CVR Energy Inc.,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cvi
CVIA,Covia Holdings Corporation,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/cvia
CVNA,Carvana Co.,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/cvna
CVS,CVS Health Corporation,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/cvs
CVX,Chevron Corporation,Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/cvx
CW,Curtiss-Wright Corporation,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cw
CWEN,"Clearway Energy, Inc.",Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/cwen
CWEN.A,"Clearway Energy, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/cwen.a
CWH,"Camping World Holdings, Inc.",Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/cwh
CWK,Cushman & Wakefield plc,Finance,Real Estate,https://old.nasdaq.com/symbol/cwk
CWT,California Water  Service Group Holding,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/cwt
CX,Cemex S.A.B. de C.V.,Capital Goods,Building Materials,https://old.nasdaq.com/symbol/cx
CXE,Colonial High Income Municipal Trust,n/a,n/a,https://old.nasdaq.com/symbol/cxe
CXH,Colonial Investment Grade Municipal Trust,n/a,n/a,https://old.nasdaq.com/symbol/cxh
CXO,Concho Resources Inc.,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/cxo
CXP,"Columbia Property Trust, Inc.",Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cxp
CXW,"CoreCivic, Inc.",Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/cxw
CYD,China Yuchai International Limited,Energy,Industrial Machinery/Components,https://old.nasdaq.com/symbol/cyd
CYH,"Community Health Systems, Inc.",Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/cyh
CZZ,Cosan Limited,Consumer Non-Durables,Specialty Foods,https://old.nasdaq.com/symbol/czz
D,"Dominion Energy, Inc.",Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/d
DAC,Danaos Corporation,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dac
DAL,"Delta Air Lines, Inc.",Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/dal
DAN,Dana Incorporated,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/dan
DAO,"Youdao, Inc.",Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dao
DAR,Darling Ingredients Inc.,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/dar
DAVA,Endava plc,Technology,EDP Services,https://old.nasdaq.com/symbol/dava
DB,Deutsche Bank AG,Finance,Major Banks,https://old.nasdaq.com/symbol/db
DBD,Diebold Nixdorf Incorporated,Miscellaneous,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/dbd
DBI,Designer Brands Inc.,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/dbi
DBL,DoubleLine Opportunistic Credit Fund,n/a,n/a,https://old.nasdaq.com/symbol/dbl
DCF,BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund,n/a,n/a,https://old.nasdaq.com/symbol/dcf
DCI,"Donaldson Company, Inc.",Capital Goods,Pollution Control Equipment,https://old.nasdaq.com/symbol/dci
DCO,Ducommun Incorporated,Capital Goods,Military/Government/Technical,https://old.nasdaq.com/symbol/dco
DCP,DCP Midstream LP,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/dcp
DCP^B,DCP Midstream LP,n/a,n/a,https://old.nasdaq.com/symbol/dcp^b
DCP^C,DCP Midstream LP,n/a,n/a,https://old.nasdaq.com/symbol/dcp^c
DCUE,"Dominion Energy, Inc.",Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/dcue
DD,"DuPont de Nemours, Inc.",Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/dd
DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/ddd
DDF,"Delaware Investments Dividend & Income Fund, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/ddf
DDS,"Dillard&#39;s, Inc.",Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dds
DDT,"Dillard&#39;s, Inc.",Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/ddt
DE,Deere & Company,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/de
DEA,"Easterly Government Properties, Inc.",Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dea
DECK,Deckers Outdoor Corporation,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/deck
DEI,"Douglas Emmett, Inc.",Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dei
DELL,Dell Technologies Inc.,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/dell
DEO,Diageo plc,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/deo
DESP,"Despegar.com, Corp.",Consumer Services,Transportation Services,https://old.nasdaq.com/symbol/desp
DEX,Delaware Enhanced Global Dividend,n/a,n/a,https://old.nasdaq.com/symbol/dex
DFIN,"Donnelley Financial Solutions, Inc.",Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dfin
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,n/a,n/a,https://old.nasdaq.com/symbol/dfp
DFS,Discover Financial Services,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/dfs
DG,Dollar General Corporation,Consumer Services,Department/Specialty Retail Stores,https://old.nasdaq.com/symbol/dg
DGX,Quest Diagnostics Incorporated,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/dgx
DHF,BNY Mellon High Yield Strategies Fund,n/a,n/a,https://old.nasdaq.com/symbol/dhf
DHI,"D.R. Horton, Inc.",Capital Goods,Homebuilding,https://old.nasdaq.com/symbol/dhi
DHR,Danaher Corporation,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dhr
DHR.WD,Danaher Corporation,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dhr.wd
DHR^A,Danaher Corporation,n/a,n/a,https://old.nasdaq.com/symbol/dhr^a
DHT,"DHT Holdings, Inc.",Transportation,Marine Transportation,https://old.nasdaq.com/symbol/dht
DHX,"DHI Group, Inc.",Miscellaneous,Business Services,https://old.nasdaq.com/symbol/dhx
DIAX,Nuveen Dow 30SM Dynamic Overwrite Fund,n/a,n/a,https://old.nasdaq.com/symbol/diax
DIN,"Dine Brands Global, Inc.",Consumer Services,Restaurants,https://old.nasdaq.com/symbol/din
DIS,Walt Disney Company (The),Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/dis
DK,"Delek US Holdings, Inc.",Energy,Integrated oil Companies,https://old.nasdaq.com/symbol/dk
DKL,"Delek Logistics Partners, L.P.",Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/dkl
DKS,Dick&#39;s Sporting Goods Inc,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/dks
DKT.CL,Deutsch Bk Contingent Cap Tr V,n/a,n/a,https://old.nasdaq.com/symbol/dkt.cl
DL,China Distance Education Holdings Limited,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/dl
DLB,Dolby Laboratories,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/dlb
DLNG,Dynagas LNG Partners LP,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/dlng
DLNG^A,Dynagas LNG Partners LP,n/a,n/a,https://old.nasdaq.com/symbol/dlng^a
DLNG^B,Dynagas LNG Partners LP,n/a,n/a,https://old.nasdaq.com/symbol/dlng^b
DLPH,Delphi Technologies PLC,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/dlph
DLR,"Digital Realty Trust, Inc.",Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dlr
DLR^C,"Digital Realty Trust, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/dlr^c
DLR^G,"Digital Realty Trust, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/dlr^g
DLR^I,"Digital Realty Trust, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/dlr^i
DLR^J,"Digital Realty Trust, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/dlr^j
DLR^K,"Digital Realty Trust, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/dlr^k
DLR^L,"Digital Realty Trust, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/dlr^l
DLX,Deluxe Corporation,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/dlx
DMB,"BNY Mellon Municipal Bond Infrastructure Fund, Inc",n/a,n/a,https://old.nasdaq.com/symbol/dmb
DMO,Western Asset Mortgage Defined Opportunity Fund Inc,n/a,n/a,https://old.nasdaq.com/symbol/dmo
DNI,Dividend and Income Fund,n/a,n/a,https://old.nasdaq.com/symbol/dni
DNOW,NOW Inc.,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/dnow
DNP,"Duff & Phelps Utilities Income, Inc.",n/a,n/a,https://old.nasdaq.com/symbol/dnp
DNR,Denbury Resources Inc.,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/dnr
DO,"Diamond Offshore Drilling, Inc.",Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/do
DOC,Physicians Realty Trust,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/doc
DOOR,Masonite International Corporation,Basic Industries,Forest Products,https://old.nasdaq.com/symbol/door
DOV,Dover Corporation,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/dov
DOW,Dow Inc.,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/dow
DPG,Duff & Phelps Utility and Infrastructure Fund Inc.,n/a,n/a,https://old.nasdaq.com/symbol/dpg
DPLO,"Diplomat Pharmacy, Inc.",Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/dplo
DPZ,Domino&#39;s Pizza Inc,Consumer Non-Durables,Food Distributors,https://old.nasdaq.com/symbol/dpz
DQ,DAQO New Energy Corp.,Technology,Semiconductors,https://old.nasdaq.com/symbol/dq
DRD,DRDGOLD Limited,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/drd
DRE,Duke Realty Corporation,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/dre
DRH,Diamondrock Hospitality Company,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/drh
DRI,"Darden Restaurants, Inc.",Consumer Services,Restaurants,https://old.nasdaq.com/symbol/dri
DRQ,"Dril-Quip, Inc.",Energy,Metal Fabrications,https://old.nasdaq.com/symbol/drq
DRUA,"Dominion Energy, Inc.",Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/drua
DS,Drive Shack Inc.,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/ds
DS^B,Drive Shack Inc.,n/a,n/a,https://old.nasdaq.com/symbol/ds^b
